ID,Source-Span,Source_Strength,Original,Constraint(s),Interpretation,Atomic,Beyond-Syntax,Diff-Code-Related,Objective,Grounded,Decision(Auto),Notes,random
norm_011,197-200,may,"The standard REST verbs (defined below) MUST return singular JSON objects. Some API endpoints may deviate from the strict REST pattern and return resources that are not singular JSON objects, such as streams of JSON objects or unstructured text log data.","Some API endpoints may deviate from the strict REST pattern and return resources that are not singular JSON objects, such as streams of JSON objects or unstructured text log data.",一部のAPIエンドポイントは厳密なRESTパターンから逸脱し，JSONストリームや構造化されていないログデータを返してもよい．,,,,,,,,0.04428656557
norm_073,641-645,may,"Sometimes, when a new type is created, the api designer may anticipate that a union will be needed in the future, even if only one field is allowed initially. In this case, be sure to make the field [Optional](#optional-vs-required) In the validation, you may still return an error if the sole field is unset. Do not set a default value for that field.","In this case, be sure to make the field Optional In the validation, you may still return an error if the sole field is unset.",将来のunion化を見越す場合，フィールドをOptionalにしておく．バリデーションでは唯一のフィールドが未設定の場合にエラーを返してもよい．,,,,,,,,0.04654953746
norm_069,625-632,should,"All API within Kubernetes must leverage constants in this style, including flags and configuration files. Where inconsistent constants were previously used, new flags should be CamelCase only, and over time old flags should be updated to accept a CamelCase value alongside the inconsistent constant. Example: the Kubelet accepts a `--topology-manager-policy` flag that has values `none`, `best-effort`, `restricted`, and `single-numa-node`. This flag should accept `None`, `BestEffort`, `Restricted`, and `SingleNUMANode` going forward. If new values are added to the flag, both forms should be supported.","Where inconsistent constants were previously used, new flags should be CamelCase only, and over time old flags should be updated to accept a CamelCase value alongside the inconsistent constant.",新しいフラグはCamelCaseのみとし，既存の不整合なフラグも時間をかけてCamelCase値を受け入れるよう更新すべきである．,,,,,,,,0.05531845532
norm_029,322-325,MUST,"The PUT and POST verbs on objects MUST ignore the `status` values, to avoid accidentally overwriting the `status` in read-modify-write scenarios. A `/status` subresource MUST be provided to enable system components to update statuses of resources they manage.","The PUT and POST verbs on objects MUST ignore the `status` values, to avoid accidentally overwriting the `status` in read-modify-write scenarios.",PUT/POSTはstatusの値を無視しなければならない．read-modify-writeシナリオでstatusが意図せず上書きされるのを防ぐため．,,,,,,,,0.05571986844
norm_163,1784-1786,must,"* Go field names must be PascalCase. JSON field names must be camelCase. Other than capitalization of the initial letter, the two should almost always match. No underscores or dashes in either.","Go field names must be PascalCase. JSON field names must be camelCase. Other than capitalization of the initial letter, the two should almost always match. No underscores or dashes in either.",Goフィールド名はPascalCase，JSONフィールド名はcamelCaseでなければならない．先頭大文字以外は一致すべきで，アンダースコアやダッシュは不可．,,,,,,,,0.05576484177
norm_068,625-632,must,"All API within Kubernetes must leverage constants in this style, including flags and configuration files. Where inconsistent constants were previously used, new flags should be CamelCase only, and over time old flags should be updated to accept a CamelCase value alongside the inconsistent constant. Example: the Kubelet accepts a `--topology-manager-policy` flag that has values `none`, `best-effort`, `restricted`, and `single-numa-node`. This flag should accept `None`, `BestEffort`, `Restricted`, and `SingleNUMANode` going forward. If new values are added to the flag, both forms should be supported.","All API within Kubernetes must leverage constants in this style, including flags and configuration files.",Kubernetes内のすべてのAPIは，フラグや設定ファイルを含め，CamelCaseスタイルの定数を使用しなければならない．,,,,,,,,0.05704168073
norm_184,1915-1915,should,"- Key names should be all lowercase, with words separated by dashes instead of camelCase","Key names should be all lowercase, with words separated by dashes instead of camelCase.",ラベル/annotationsのキー名はすべて小文字で，camelCaseではなくダッシュで単語を区切るべきである．,,,,,,,,0.05899402133
norm_143,1254-1254,should,"Controllers should assume that a version of a resource may change, and include appropriate error handling.","Controllers should assume that a version of a resource may change, and include appropriate error handling.",コントローラーはリソースのバージョンが変わりうることを前提とし，適切なエラーハンドリングを含めるべきである．,,,,,,,,0.06792025624
norm_007,154-157,should,"In addition, all lists that return objects with labels should support label filtering (see [the labels documentation](https://kubernetes.io/docs/concepts/overview/working-with-objects/labels/)), and most lists should support filtering by fields (see [the fields documentation](https://kubernetes.io/docs/concepts/overview/working-with-objects/field-selectors/)).","In addition, all lists that return objects with labels should support label filtering (see the labels documentation), and most lists should support filtering by fields (see the fields documentation).",ラベル付きオブジェクトを返すリストはラベルフィルタリングをサポートすべきであり，ほとんどのリストはフィールドフィルタリングもサポートすべきである．,,,,,,,,0.07494530562
norm_104,845-849,should,"When the field type has a built-in `nil` value, such as a map or a slice, and your use case means that you need to be able to distinguish between ""field not set"" and ""field set to an empty value"", you should use a pointer to the type, even though it has a built-in `nil` value. See https://github.com/kubernetes/kubernetes/issues/34641.","When the field type has a built-in `nil` value, such as a map or a slice, and your use case means that you need to be able to distinguish between ""field not set"" and ""field set to an empty value"", you should use a pointer to the type, even though it has a built-in `nil` value.",map/sliceなど組み込みnil値を持つ型でも，「未設定」と「空値」を区別する必要がある場合はポインタ型を使用すべきである．,,,,,,,,0.07746293736
norm_078,666-669,may,"An API may represent a single entity in different ways for different clients, or transform an object after certain transitions in the system occur. In these cases, one request object may have two representations available as different resources, or different kinds.","In these cases, one request object may have two representations available as different resources, or different kinds.",1つのリクエストオブジェクトが異なるリソースまたは異なるkindとして2つの表現を持つことがある．,,,,,,,,0.07964291349
norm_171,1810-1812,should,* The name of a field referring to another resource of kind `Foo` by name should be called `fooName`. The name of a field referring to another resource of kind `Foo` by ObjectReference (or subset thereof) should be called `fooRef`.,The name of a field referring to another resource of kind `Foo` by name should be called `fooName`. The name of a field referring to another resource of kind `Foo` by ObjectReference (or subset thereof) should be called `fooRef`.,別リソースFooを名前で参照するフィールドはfooName，ObjectReferenceで参照する場合はfooRefと命名すべきである．,,,,,,,,0.08113690689
norm_081,690-691,should,"* GET /&lt;resourceNamePlural&gt; - Retrieve a list of type &lt;resourceName&gt;, e.g. GET /pods returns a list of Pods.","API resources should use the traditional REST pattern: GET /&lt;resourceNamePlural&gt; - Retrieve a list of type &lt;resourceName&gt;, e.g. GET /pods returns a list of Pods.",APIリソースはREST慣例に従い，GET /<リソース名複数形>でリスト取得エンドポイントを提供すべきである．,,,,,,,,0.09210467964
norm_130,1136-1145,MUST,"The only way for a client to know the expected value of resourceVersion is to have received it from the server in response to a prior operation, typically a GET. This value MUST be treated as opaque by clients and passed unmodified back to the server. Clients should not assume that the resource version has meaning across namespaces, different kinds of resources, or different servers. Currently, the value of resourceVersion is set to match etcd's sequencer. You could think of it as a logical clock the API server can use to order requests. However, we expect the implementation of resourceVersion to change in the future, such as in the case we shard the state by kind and/or namespace, or port to another storage system.",This value MUST be treated as opaque by clients and passed unmodified back to the server.,resourceVersionの値はクライアントが不透明として扱い，変更せずにサーバーに返さなければならない．,,,,,,,,0.09433677482
norm_042,378-381,should,"* Controllers should apply their conditions to a resource the first time they visit the resource, even if the `status` is Unknown. This allows other components in the system to know that the condition exists and the controller is making progress on reconciling that resource.","Controllers should apply their conditions to a resource the first time they visit the resource, even if the `status` is Unknown. This allows other components in the system to know that the condition exists and the controller is making progress on reconciling that resource.",コントローラーは初回のリソース訪問時にconditionを設定すべきである（statusがUnknownでも）．他のコンポーネントがreconciliation進行中であることを把握できる．,,,,,,,,0.1055116089
norm_010,197-200,MUST,"The standard REST verbs (defined below) MUST return singular JSON objects. Some API endpoints may deviate from the strict REST pattern and return resources that are not singular JSON objects, such as streams of JSON objects or unstructured text log data.",The standard REST verbs (defined below) MUST return singular JSON objects.,標準RESTメソッド（GET/POST/PUT/DELETE/PATCH）は単一のJSONオブジェクトを返さなければならない．,,,,,,,,0.1080791271
norm_131,1136-1145,should,"The only way for a client to know the expected value of resourceVersion is to have received it from the server in response to a prior operation, typically a GET. This value MUST be treated as opaque by clients and passed unmodified back to the server. Clients should not assume that the resource version has meaning across namespaces, different kinds of resources, or different servers. Currently, the value of resourceVersion is set to match etcd's sequencer. You could think of it as a logical clock the API server can use to order requests. However, we expect the implementation of resourceVersion to change in the future, such as in the case we shard the state by kind and/or namespace, or port to another storage system.","Clients should not assume that the resource version has meaning across namespaces, different kinds of resources, or different servers.",クライアントはresourceVersionがnamespace間，異なるリソース間，異なるサーバー間で意味を持つと仮定すべきではない．,,,,,,,,0.1081204924
norm_005,149-152,should,"Most objects defined in the system should have an endpoint that returns the full set of resources, as well as zero or more endpoints that return subsets of the full list. Some objects may be singletons (the current user, the system defaults) and may not have lists.","Most objects defined in the system should have an endpoint that returns the full set of resources, as well as zero or more endpoints that return subsets of the full list.",システム内のオブジェクトは，全リソースを返すエンドポイントと，サブセットを返すエンドポイントを持つべきである．,,,,,,,,0.1123443446
norm_146,1325-1326,should,"This schema should only be used when the intention is to always have the reference only be to a single resource. If extending to multiple resource types is possible, use the [multiple resource reference](#multiple-resource-reference).",This schema should only be used when the intention is to always have the reference only be to a single resource.,単一リソース参照スキーマは，参照先が常に単一リソースであることが意図される場合にのみ使用すべきである．,,,,,,,,0.1153179326
norm_031,327-335,may,"Otherwise, PUT expects the whole object to be specified. Therefore, if a field is omitted it is assumed that the client wants to clear that field's value. The PUT verb does not accept partial updates. Modification of just part of an object may be achieved by GETting the resource, modifying part of the spec, labels, or annotations, and then PUTting it back. See [concurrency control](#concurrency-control-and-consistency), below, regarding read-modify-write consistency when using this pattern. Some objects may expose alternative resource representations that allow mutation of the status, or performing custom actions on the object.","Modification of just part of an object may be achieved by GETting the resource, modifying part of the spec, labels, or annotations, and then PUTting it back.",オブジェクトの一部の変更は，GET→spec/labels/annotationsの修正→PUTの手順で行ってもよい．,,,,,,,,0.1207768522
norm_203,2019-2021,should,"All list fields should have their ""listType"" tag(s) set.  Lists with set or map semantics should be checked for uniqueness (declarative validation will do this authomatically).",Lists with set or map semantics should be checked for uniqueness (declarative validation will do this authomatically).,setまたはmapセマンティクスを持つリストは一意性をチェックすべきである（宣言的バリデーションでは自動で行われる）．,,,,,,,,0.1218263195
norm_064,598-602,must,"* All numbers (e.g. `int32`, `int64`) are converted to `float64` by Javascript and some other languages, so any field which is expected to exceed that either in magnitude or in precision (e.g. integer values > 53 bits) should be serialized and accepted as strings. `int64` fields must be bounds-checked to be within the range of `-(2^53) < x < (2^53)`.","All numbers (e.g. `int32`, `int64`) are converted to `float64` by Javascript and some other languages, so any field which is expected to exceed that either in magnitude or in precision (e.g. integer values > 53 bits) should be serialized and accepted as strings. `int64` fields must be bounds-checked to be within the range of `-(2^53) < x < (2^53)`.",JavaScriptなどではすべての数値がfloat64に変換されるため，53ビット超の整数フィールドは文字列としてシリアライズすべきであり，int64は-(2^53) < x < (2^53)の範囲チェックが必要．,,,,,,,,0.1323177942
norm_216,2082-2087,must,"Many API types include values that are allocated on behalf of the user from some larger space (e.g. IP addresses from a range, or storage bucket names). These allocations are usually driven by controllers asynchronously to the user's API operations.  Sometimes the user can request a specific value and a controller must confirm or reject that request.  There are many examples of this in Kubernetes, and there a handful of patterns used to represent it.",Sometimes the user can request a specific value and a controller must confirm or reject that request.,ユーザーが特定の値を要求した場合，コントローラーはその要求を確認または拒否しなければならない．,,,,,,,,0.1372228344
norm_109,899-899,recommended,"- In these cases, not using `omitempty` provides the same result, but pollutes the marshaled object with zero values and is not recommended.","In these cases, not using `omitempty` provides the same result, but pollutes the marshaled object with zero values and is not recommended.",omitemptyを使用しないと，マーシャルされたオブジェクトがゼロ値で汚染されるため推奨されない．,,,,,,,,0.1379078013
norm_208,2042-2044,must,"* When asserting a formatting requirement in the negative, use ""must not"". Example: ""must not contain '..'"".  Words like ""should not"" imply that the assertion is optional, and must be avoided.","When asserting a formatting requirement in the negative, use ""must not"". Example: ""must not contain '..'"". Words like ""should not"" imply that the assertion is optional, and must be avoided.",エラーメッセージで否定的なフォーマット要件を示す場合は「must not」を使用する（例: must not contain '..'）．,,,,,,,,0.1382921209
norm_067,614-623,should,"Some fields will have a list of allowed values (enumerations). These values will be strings, and they will be in CamelCase, with an initial uppercase letter. Examples: `ClusterFirst`, `Pending`, `ClientIP`. When an acronym or initialism each letter in the acronym should be uppercase, such as with `ClientIP` or `TCPDelay`. When a proper name or the name of a command-line executable is used as a constant the proper name should be represented in consistent casing - examples: `systemd`, `iptables`, `IPVS`, `cgroupfs`, `Docker` (as a generic concept), `docker` (as the command-line executable). If a proper name is used which has mixed capitalization like `eBPF` that should be preserved in a longer constant such as `eBPFDelegation`.",If a proper name is used which has mixed capitalization like `eBPF` that should be preserved in a longer constant such as `eBPFDelegation`.,eBPFのように大文字小文字が混在する固有名詞は，定数名中でもそのケーシングを維持すべきである（例: eBPFDelegation）．,,,,,,,,0.1390103215
norm_111,967-974,may,"In some cases, these values may be conditional on or deterministically derived from other fields (e.g. ""if otherField is X then this field defaults to 0"" or ""this field defaults to the value of otherField"").  Note that such derived defaults present a hazard in the face of updates - if the ""other"" field changes, the derived field may have to change, too.  The static defaulting logic is unaware of updates and has no concept of ""previous value"", which means this inter-field relationship becomes the user's problem - they must update both the field they care about and the ""other"" field.","In some cases, these values may be conditional on or deterministically derived from other fields (e.g. ""if otherField is X then this field defaults to 0"" or ""this field defaults to the value of otherField"").",デフォルト値は他のフィールドの値に条件付きまたは決定論的に依存してもよい（例: otherFieldがXならデフォルト0）．,,,,,,,,0.1395250648
norm_014,219-219,MUST,* kind: a string that identifies the schema this object should have,All JSON objects returned by an API MUST include a `kind` field that identifies the schema this object should have.,APIが返すすべてのJSONオブジェクトには，そのスキーマを識別するkindフィールドを含めなければならない．,,,,,,,,0.1410400118
norm_110,901-901,should,- Required structs should use `omitzero` to avoid marshalling the zero value.,Required structs should use `omitzero` to avoid marshalling the zero value.,requiredな構造体フィールドはomitzeroを使用してゼロ値のマーシャリングを避けるべきである．,,,,,,,,0.1470301095
norm_154,1585-1591,should,"The status object is encoded as JSON and provided as the body of the response. The status object contains fields for humans and machine consumers of the API to get more detailed information for the cause of the failure. The information in the status object supplements, but does not override, the HTTP status code's meaning. When fields in the status object have the same meaning as generally defined HTTP headers and that header is returned with the response, the header should be considered as having higher priority.","When fields in the status object have the same meaning as generally defined HTTP headers and that header is returned with the response, the header should be considered as having higher priority.",statusオブジェクトのフィールドがHTTPヘッダーと同じ意味を持つ場合，ヘッダーの方が優先されるべきである．,,,,,,,,0.1471076664
norm_151,1438-1438,should,"The fieldPath should point to a single value, and use [the recommended field selector notation](#selecting-fields) to denote the field path.","The fieldPath should point to a single value, and use the recommended field selector notation to denote the field path.",fieldPathは単一の値を指し，推奨されるフィールドセレクタ記法を使用すべきである．,,,,,,,,0.1560920305
norm_178,1889-1893,should,"Therefore, resources supporting auto-generation of unique labels should have a `uniqueLabelKey` field, so that the user could specify the key if they wanted to, but if unspecified, it could be set by default, such as to the resource type, like job, deployment, or replicationController. The value would need to be at least spatially unique, and perhaps temporally unique in the case of job.","Therefore, resources supporting auto-generation of unique labels should have a `uniqueLabelKey` field, so that the user could specify the key if they wanted to, but if unspecified, it could be set by default, such as to the resource type, like job, deployment, or replicationController.",ユニークラベルの自動生成をサポートするリソースは，ユーザーがキーを指定できるuniqueLabelKeyフィールドを持つべきである．,,,,,,,,0.1621987103
norm_049,426-427,should,"Conditions should follow the standard schema included in [k8s.io/apimachinery/pkg/apis/meta/v1/types.go](https://github.com/kubernetes/apimachinery/blob/release-1.23/pkg/apis/meta/v1/types.go#L1432-L1492). It should be included as a top level element in status, similar to",Conditions should be included as a top level element in `status`.,conditionsはstatusのトップレベル要素として含めるべきである（ネストされた場所ではなく）．,,,,,,,,0.1828847687
norm_083,694-696,should,"* GET /&lt;resourceNamePlural&gt;/&lt;name&gt; - Retrieves a single resource with the given name, e.g. GET /pods/first returns a Pod named 'first'. Should be constant time, and the resource should be bounded in size.","API resources should use the traditional REST pattern: GET /&lt;resourceNamePlural&gt;/&lt;name&gt; - Retrieves a single resource with the given name, e.g. GET /pods/first returns a Pod named 'first'. Should be constant time, and the resource should be bounded in size.",GET /<リソース名複数形>/<名前>で単一リソースを取得するエンドポイントを提供すべきである．定数時間で完了し，レスポンスサイズは有界であるべき．,,,,,,,,0.1838402845
norm_207,2039-2041,must,"* When asserting a requirement in the positive, use ""must"".  Examples: ""must be greater than 0"", ""must match regex '[a-z]+'"".  Words like ""should"" imply that the assertion is optional, and must be avoided.","When asserting a requirement in the positive, use ""must"". Examples: ""must be greater than 0"", ""must match regex '[a-z]+'"". Words like ""should"" imply that the assertion is optional, and must be avoided.",エラーメッセージで肯定的な要件を示す場合は「must」を使用する（例: must be greater than 0）．「should」は任意を暗示するため避ける．,,,,,,,,0.1873287619
norm_205,2025-2026,should,"All map fields should be checked for maximum size.  If the map has a minimum size, that should also be checked.","If the map has a minimum size, that should also be checked.",mapに最小サイズがある場合，その最小サイズもチェックすべきである．,,,,,,,,0.1878571199
norm_186,1921-1922,may,- Such keys are effectively part of the kubernetes API and may be subject to deprecation and compatibility policies.,Such keys are effectively part of the kubernetes API and may be subject to deprecation and compatibility policies.,そのようなキーは実質的にKubernetes APIの一部であり，非推奨化と互換性ポリシーの対象となりうる．,,,,,,,,0.1881630032
norm_174,1828-1836,should,"Labels are the domain of users. They are intended to facilitate organization and management of API resources using attributes that are meaningful to users, as opposed to meaningful to the system. Think of them as user-created mp3 or email inbox labels, as opposed to the directory structure used by a program to store its data. The former enables the user to apply an arbitrary ontology, whereas the latter is implementation-centric and inflexible. Users will use labels to select resources to operate on, display label values in CLI/UI columns, etc. Users should always retain full power and flexibility over the label schemas they apply to labels in their namespaces.","Users will use labels to select resources to operate on, display label values in CLI/UI columns, etc. Users should always retain full power and flexibility over the label schemas they apply to labels in their namespaces.",ユーザーは自分のnamespace内のラベルスキーマに対して完全な権限と柔軟性を保持すべきである．,,,,,,,,0.1896226759
norm_123,1050-1050,should,- Adding keys to maps,All forms of defaulting should only add keys to maps.,すべてのデフォルト設定は，mapにキーを追加するのみとすべきである（既存キーの上書き禁止）．,,,,,,,,0.1909811007
norm_145,1287-1291,may,"As the permissions of the controller can differ from the permissions of the author of the object the controller is managing, it is possible that the author of the object may not have permissions to view the referred object. As a result, the copying of any values about the referred object to the referrer object can be considered permissions escalations, enabling a user to read values that they would not have access to previously.","As the permissions of the controller can differ from the permissions of the author of the object the controller is managing, it is possible that the author of the object may not have permissions to view the referred object.",コントローラーの権限とオブジェクト作成者の権限が異なるため，作成者が参照先オブジェクトの閲覧権限を持たない可能性がある．,,,,,,,,0.1913641587
norm_189,1927-1927,should,- Key prefixes should carry as much context as possible.,Key prefixes should carry as much context as possible.,キープレフィックスはできるだけ多くのコンテキストを伝えるべきである．,,,,,,,,0.194091428
norm_034,337-340,MAY,"All objects that represent a physical resource whose state may vary from the user's desired intent SHOULD have a `spec` and a `status`. Objects whose state cannot vary from the user's desired intent MAY have only `spec`, and MAY rename `spec` to a more appropriate name.","Objects whose state cannot vary from the user's desired intent MAY have only `spec`, and MAY rename `spec` to a more appropriate name.",ユーザーの意図と状態が常に一致するオブジェクトはspecのみでもよく，specをより適切な名前にリネームしてもよい．,,,,,,,,0.1959531176
norm_086,705-709,should,"* PUT /&lt;resourceNamePlural&gt;/&lt;name&gt; - Update or create the resource with the given name with the JSON object provided by the client. Whether a resource can be created with a PUT request depends on the particular resource's storage strategy configuration, specifically the `AllowCreateOnUpdate()` return value. Most built-in types do not allow this.","API resources should use the traditional REST pattern: PUT /&lt;resourceNamePlural&gt;/&lt;name&gt; - Update or create the resource with the given name with the JSON object provided by the client. Whether a resource can be created with a PUT request depends on the particular resource's storage strategy configuration, specifically the `AllowCreateOnUpdate()` return value. Most built-in types do not allow this.",PUT /<リソース名複数形>/<名前>でリソースの更新（または作成）エンドポイントを提供すべきである．PUTでの作成はAllowCreateOnUpdate()の設定による．,,,,,,,,0.203472013
norm_192,1979-1986,preferred,"API objects are validated upon receipt by the apiserver. Validation can be implemented in two ways: declaratively, using tags on the Go type definitions, or manually, by writing validation functions. For all new APIs, declarative validation is the preferred approach for the validation rules it supports.  For more information see the [declarative validation documentation](api_changes.md#declarative-validation). Validation errors are flagged and returned to the caller in a `Failure` status, usually with `reason` set to `Invalid`.","For all new APIs, declarative validation is the preferred approach for the validation rules it supports.",すべての新しいAPIでは，宣言的バリデーションが推奨されるアプローチである．,,,,,,,,0.2063715477
norm_077,666-669,may,"An API may represent a single entity in different ways for different clients, or transform an object after certain transitions in the system occur. In these cases, one request object may have two representations available as different resources, or different kinds.","An API may represent a single entity in different ways for different clients, or transform an object after certain transitions in the system occur.",APIは同一エンティティを異なるクライアント向けに異なる方法で表現してもよい．,,,,,,,,0.2067316661
norm_214,2070-2078,should,"When the user chooses to change the `discriminator` value (e.g., from `Type X` to `Type Y`) without changing any other fields then the system should clear the fields that were used to represent `Type X` in the union along with releasing resources that were attached to `Type X`. This should automatically happen irrespective of how these values and resources were allocated (i.e., reserved by the user or automatically allocated by the system. A concrete example of this is again `Service` API. The system allocates resources such as `NodePorts` and `ClusterIPs` and automatically fill in the fields that represent them in case of the service is of type `NodePort` or `ClusterIP` (`discriminator` values). These resources and the fields representing them are automatically cleared when  the users changes service type to `ExternalName` where these resources and field values no longer apply.","When the user chooses to change the `discriminator` value (e.g., from `Type X` to `Type Y`) without changing any other fields then the system should clear the fields that were used to represent `Type X` in the union along with releasing resources that were attached to `Type X`.",discriminator値の変更時，システムは以前の型のフィールドをクリアし，関連リソースを解放すべきである．,,,,,,,,0.2112055362
norm_018,240-243,MUST,"* uid: a unique in time and space value (typically an RFC 4122 generated identifier, see [the identifiers docs](https://kubernetes.io/docs/concepts/overview/working-with-objects/names/)) used to distinguish between objects with the same name that have been deleted and recreated",Every object kind MUST have a `metadata.uid` field that uniquely distinguishes objects with the same name that have been deleted and recreated.,すべてのオブジェクトkindは，削除・再作成されたオブジェクトを区別するためのmetadata.uidフィールドを持たなければならない．,,,,,,,,0.221858604
norm_127,1072-1076,should,"The goal is that, for a given input (e.g. YAML file), PUT on an existing object should produce the same result as if you used that input to create the object. Calling PUT a second time with the same input should be idempotent and should not change the resource.  Even a read-modify-write cycle is not a perfect solution in the face of version skew.",Calling PUT a second time with the same input should be idempotent and should not change the resource.,同じ入力でPUTを2回呼び出した場合，冪等であり，リソースを変更すべきではない．,,,,,,,,0.2282642292
norm_119,1036-1040,must,"Like admission controlled defaults, these controllers may consider external state when deciding what values to set, must handle race conditions, and can be disabled.  Fields which are initialized this way must be strictly optional (meaning observers will see the object without these fields set, and that is allowable and semantically correct).","Fields which are initialized this way must be strictly optional (meaning observers will see the object without these fields set, and that is allowable and semantically correct).",遅延初期化で設定されるフィールドは厳密にoptionalでなければならない（フィールド未設定の状態が観測されうる）．,,,,,,,,0.2423729757
norm_084,697-702,should,"* DELETE /&lt;resourceNamePlural&gt;/&lt;name&gt;  - Delete the single resource with the given name. DeleteOptions may specify gracePeriodSeconds, the optional duration in seconds before the object should be deleted. Individual kinds may declare fields which provide a default grace period, and different kinds may have differing kind-wide default grace periods. A user provided grace period overrides a default grace period, including the zero grace period (""now"").","API resources should use the traditional REST pattern: DELETE /&lt;resourceNamePlural&gt;/&lt;name&gt; - Delete the single resource with the given name. DeleteOptions may specify gracePeriodSeconds, the optional duration in seconds before the object should be deleted. Individual kinds may declare fields which provide a default grace period, and different kinds may have differing kind-wide default grace periods. A user provided grace period overrides a default grace period, including the zero grace period (""now"").",DELETE /<リソース名複数形>/<名前>で単一リソースを削除するエンドポイントを提供すべきである．DeleteOptionsでgracePeriodSecondsを指定可能．,,,,,,,,0.2447810895
