Rule,Status,Area,Keywords,Content,Review Hint,Notes
optionalorrequired,enabled,Field markers,"optional; required; +optional; +required; xor",API field が `+optional` または `+required` のどちらかで明示されているかを確認する．field の意味的 requiredness を決める rule ではなく，marker の存在を確認する rule,209 件では `block_0154_s1`, `block_0164_s2`, `block_0167_s1`, `block_0502_s1` が直接対応しやすい．`required とは何か` や `writer が opinion を表すべき` のような意味説明は人間判断,
ssatags,enabled,SSA metadata,"ssa; server-side apply; listType; list type; atomic; set; map",list field が server-side apply 用の `listType` tag を持つかを確認する．SSA の merge semantics を marker で検出する rule,209 件では `list` や `atomic` の語だけで大量に引っかかるので注意．`+listType`, `listType=map/set/atomic`，SSA list marker を直接扱う候補だけ Beyond-Syntax=false 寄り．resource list や Conditions の意味論はこの rule とは別,listType=set usage は設定で Ignore
duplicatemarkers,enabled,Field markers,"duplicate; duplicated; marker; markers",type と field に同一 marker が重複していないかを確認する．marker の意味ではなく，同じ marker が複数箇所に重複配置されていないかを見る rule,209 件では直接対応候補は見当たらない．marker 重複そのものを扱う候補が出た時だけ参照する,
dependenttags,enabled,Field markers,"dependent; depends on; unionMember; optional; marker",ある marker を使う時に，依存する別 marker も一緒に付いているかを確認する．現在の設定では `k8s:unionMember` が `k8s:optional` に依存する,209 件の単語一致は noise が多い．`depends on` が一般文脈で出てもこの rule とは限らない．`unionMember` や marker dependency を直接扱う候補だけ参照する,現在は k8s:unionMember が k8s:optional に依存する設定
nodurations,enabled,Field types,"duration; metav1.Duration; time.Duration",API field が duration type を使っていないかを確認する．duration の単位名や秒数表現の設計ではなく，Go type として duration を使うかを見る rule,209 件では `block_0246_s1` が関連するが，これは integer + field name units の設計でもある．`time.Duration` や `metav1.Duration` の使用禁止を直接扱う場合は Beyond-Syntax=false 寄り,
maxlength,disabled,Validation,"maxlength; maxLength; maxItems; validation; marker",string や array に最大長・最大要素数の validation marker があるかを確認する rule,209 件では `block_0504_s1` が直接対応しやすい．ただし現在の Kubernetes 設定では disabled なので，Beyond-Syntax=false の直接根拠にはしない．tool-detectable な種類の規約という補助情報として使う,core type では declarative marker が揃うまで無効というコメントがある
nobools,disabled,Field types,"bool; boolean; enum",bool field を避け enum を使うべきかを確認する rule,209 件では `block_0178_s2` が bool pointer/omitempty の話として近いが，これは `optionalfields` でも見る．bool を enum に置き換える設計判断そのものは disabled なので Beyond-Syntax=false の直接根拠にはしない,API design 判断を含みやすい
nofloats,disabled,Field types,"float; floats; floating-point",float type を使っていないかを確認する rule,209 件では `block_0089_s1` が直接対応．ただし現在の Kubernetes 設定では disabled なので，Beyond-Syntax=false の直接根拠にはしない,
nophase,disabled,Naming,"phase; status; state; naming",field 名に `phase` を使っていないかを確認する rule,209 件では `block_0069_s2` と `block_0069_s3` が直接対応．ただし現在の Kubernetes 設定では disabled なので，Beyond-Syntax=false の直接根拠にはしない．conditions への移行という design 判断も含む,phase の良し悪しは API design 文脈に依存しやすい
requiredfields,disabled,Field markers,"required; pointer; omitempty; omitzero; zero value",required field の pointer，`omitempty`，`omitzero` の扱いを確認する rule,209 件では `block_0169_s1`, `block_0179_s1`, `block_0184_s1` が近い．ただし現在の Kubernetes 設定では disabled なので，Beyond-Syntax=false の直接根拠にはしない．zero value の妥当性は人間判断が残る,zero value の妥当性や互換性が絡みやすい
uniquemarkers,disabled,Field markers,"unique; marker; markers; custom marker",marker が重複していないかを確認する rule,209 件では直接対応候補は見当たらない．現在の Kubernetes 設定では disabled なので，Beyond-Syntax=false の直接根拠にはしない,duplicatemarkers で一部は別途カバーされている可能性がある
