ID,Source-Span,Source_Strength,Original,Constraint,Interpretation,Kube-API-Linter,Atomic,Beyond-Syntax,Diff-Closed,Objective,Grounded,Decision(Auto),Notes
block_0026_s1,223-225,obligation,These fields are required for proper decoding of the object.,"The ""kind"" and ""apiVersion"" fields are required for proper decoding of the object.",オブジェクトを正しくデコードするために，「kind」と「apiVersion」フィールドは必須である．,,,,,,,,
block_0027_s1,231-232,obligation,"Every object kind MUST have the following metadata in a nested object field called ""metadata"": namespace: a namespace is a DNS compatible label that objects are subdivided into. The default namespace is 'default'. See the namespace docs for more. name: a string that uniquely identifies this object within the current namespace (see the identifiers docs). This value is used in the path when retrieving an individual object. uid: a unique in time and space value (typically an RFC 4122 generated identifier, see the identifiers docs) used to distinguish between objects with the same name that have been deleted and recreated","Every object kind must have a nested ""metadata"" object field containing ""namespace"", a DNS-compatible label subdividing objects with default value ""default""; ""name"", a string that uniquely identifies the object within the current namespace and is used in the path when retrieving an individual object; and ""uid"", a unique-in-time-and-space value used to distinguish between objects with the same name that have been deleted and recreated.",すべてのオブジェクト種別は，ネストされた「metadata」オブジェクトを持ち，その中に「namespace」「name」「uid」を含めなければならない．「namespace」はオブジェクトを分割するDNS互換ラベルで既定値は「default」，「name」は現在のnamespace内でオブジェクトを一意に識別し個別取得時のパスに使われる文字列，「uid」は削除後に同じ名前で再作成されたオブジェクトを区別するための時空間的に一意な値である．,,,,,,,,
block_0031_s1,245-246,recommendation,"Every object SHOULD have the following metadata in a nested object field called ""metadata"": resourceVersion: a string that identifies the internal version of this object that can be used by clients to determine when objects have changed. This value MUST be treated as opaque by clients and passed unmodified back to the server. Clients should not assume that the resource version has meaning across namespaces, different kinds of resources, or different servers. (See concurrency control, below, for more details.) generation: a sequence number representing a specific generation of the desired state. Set by the system and monotonically increasing, per-resource. May be compared, such as for RAW and WAW consistency. creationTimestamp: a string representing an RFC 3339 date of the date and time an object was created deletionTimestamp: a string representing an RFC 3339 date of the date and time after which this resource will be deleted. This field is set by the server when a graceful deletion is requested by the user, and is not directly settable by a client. The resource will be deleted (no longer visible from resource lists, and not reachable by name) after the time in this field except when the object has a finalizer set. In case the finalizer is set the deletion of the object is postponed at least until the finalizer is removed. Once the deletionTimestamp is set, this value may not be unset or be set further into the future, although it may be shortened or the resource may be deleted prior to this time. labels: a map of string keys and values that can be used to organize and categorize objects (see the labels docs) annotations: a map of string keys and values that can be used by external tooling to store and retrieve arbitrary metadata about this object (see the annotations docs)","Every object should have a nested ""metadata"" object field containing ""resourceVersion"", a string that identifies the internal version of the object for clients to determine when objects have changed and that clients must treat as opaque and pass unmodified back to the server without assuming meaning across namespaces, resource kinds, or servers; ""generation"", a system-set monotonically increasing per-resource sequence number representing a specific generation of desired state; ""creationTimestamp"", an RFC 3339 date-time string for when the object was created; ""deletionTimestamp"", an RFC 3339 date-time string set by the server for the time after which the resource will be deleted, not directly settable by clients, not unsettable or extendable once set, but shorten-able or deletable before that time, with deletion postponed at least until any finalizer is removed; ""labels"", a map of string keys and values for organizing and categorizing objects; and ""annotations"", a map of string keys and values for external tooling to store and retrieve arbitrary metadata about the object.",すべてのオブジェクトは，ネストされた「metadata」オブジェクト内に，「resourceVersion」「generation」「creationTimestamp」「deletionTimestamp」「labels」「annotations」を持つことが望ましい．「resourceVersion」は変更検出用の内部バージョンで，クライアントは不透明値として未変更のままサーバーへ返し，namespace，リソース種別，サーバーをまたぐ意味を仮定しない．「generation」はシステムが設定するリソース単位の単調増加する望ましい状態の世代番号，「creationTimestamp」は作成日時のRFC 3339文字列，「deletionTimestamp」は削除予定時刻のRFC 3339文字列で，サーバーが設定しクライアントは直接設定できず，一度設定されたら解除や将来方向への延長はできないが，短縮やその時刻前の削除はでき，finalizerがある場合は少なくともその削除まで削除が延期される．「labels」は整理と分類のための文字列キー値マップ，「annotations」は外部ツールが任意メタデータを保存取得するための文字列キー値マップである．,,,,,,,,
block_0032_s2,248-254,obligation,resourceVersion: a string that identifies the internal version of this object that can be used by clients to determine when objects have changed. This value MUST be treated as opaque by clients and passed unmodified back to the server.,"Clients must treat ""resourceVersion"" as opaque and pass it unmodified back to the server.",クライアントは「resourceVersion」を不透明な値として扱い，変更せずにサーバーへ返さなければならない．,,,,,,,,
block_0032_s3,248-254,prohibition,"resourceVersion: a string that identifies the internal version of this object that can be used by clients to determine when objects have changed. This value MUST be treated as opaque by clients and passed unmodified back to the server. Clients should not assume that the resource version has meaning across namespaces, different kinds of resources, or different servers.","Clients should not assume that ""resourceVersion"" has meaning across namespaces, different kinds of resources, or different servers.",クライアントは，「resourceVersion」がnamespace，異なるリソース種別，または異なるサーバーをまたいで意味を持つと仮定しないことが望ましい．,,,,,,,,
block_0040_s2,293-299,recommendation,"The `status` summarizes the current state of the object in the system, and is usually persisted with the object by automated processes but may be generated on the fly. As a general guideline, fields in `status` should be the most recent observations of actual state, but they may contain information such as the results of allocations or similar operations which are executed in response to the object's `spec`.","Fields in ""status"" should be the most recent observations of actual state, but may contain information such as results of allocations or similar operations executed in response to the object's ""spec"".",「status」のフィールドは，実際の状態に関する最新の観測結果であることが望ましい．ただし，オブジェクトの「spec」に応じて実行された割り当てなどの処理結果を含んでもよい．,,,,,,,,
block_0041_s1,301-304,recommendation,"Types with both `spec` and `status` stanzas can (and usually should) have distinct authorization scopes for them. This allows users to be granted full write access to `spec` and read-only access to status, while relevant controllers are granted read-only access to `spec` but full write access to status.","Types with both ""spec"" and ""status"" stanzas should have distinct authorization scopes for ""spec"" and ""status"".",「spec」と「status」の両方を持つ型では，「spec」と「status」に別々の認可スコープを設けることが望ましい．,,,,,,,,
block_0042_s4,306-313,obligation,"The system will drive toward the most recent `spec` regardless of previous versions of that stanza. For example, if a value is changed from 2 to 5 in one PUT and then back down to 3 in another PUT the system is not required to 'touch base' at 5 before changing the `status` to 3. In other words, the system's behavior is *level-based* rather than *edge-based*.","The system must drive toward the most recent ""spec"" regardless of previous versions of that stanza, making system behavior level-based rather than edge-based.",システムは，以前の「spec」版に関係なく最新の「spec」に向かって動作しなければならない．つまり，途中の変更値を必ず経由するエッジベースではなく，最新の望ましい状態に基づくレベルベースの動作でなければならない．,,,,,,,,
block_0043_s2,315-320,recommendation,"The Kubernetes API also serves as the foundation for the declarative configuration schema for the system. In order to facilitate level-based operation and expression of declarative configuration, fields in the specification should have declarative rather than imperative names and semantics -- they represent the desired state, not actions intended to yield the desired state.","Fields in the specification should have declarative rather than imperative names and semantics because they represent desired state, not actions intended to yield desired state.",仕様内のフィールドは，望ましい状態を表すものであり，その状態に到達するためのアクションを表すものではないため，命令的ではなく宣言的な名前と意味を持つことが望ましい．,,,,,,,,
block_0044_s1,322-325,obligation,"The PUT and POST verbs on objects MUST ignore the `status` values, to avoid accidentally overwriting the `status` in read-modify-write scenarios.","The PUT and POST verbs on objects must ignore ""status"" values to avoid accidentally overwriting ""status"" in read-modify-write scenarios.",オブジェクトに対するPUTとPOSTは，read-modify-write時に「status」を誤って上書きしないよう，「status」値を無視しなければならない．,,,,,,,,
block_0044_s2,322-325,obligation,"The PUT and POST verbs on objects MUST ignore the `status` values, to avoid accidentally overwriting the `status` in read-modify-write scenarios. A `/status` subresource MUST be provided to enable system components to update statuses of resources they manage.","The PUT and POST verbs on objects must ignore ""status"" values to avoid accidentally overwriting ""status"" in read-modify-write scenarios, and a ""/status"" subresource must be provided to enable system components to update statuses of resources they manage.",オブジェクトに対するPUTとPOSTは，read-modify-write時に「status」を誤って上書きしないよう「status」値を無視しなければならない．また，管理対象リソースのstatusをシステムコンポーネントが更新できるように，「/status」サブリソースを提供しなければならない．,,,,,,,,
block_0046_s1,337-340,recommendation,"All objects that represent a physical resource whose state may vary from the user's desired intent SHOULD have a `spec` and a `status`. Objects whose state cannot vary from the user's desired intent MAY have only `spec`, and MAY rename `spec` to a more appropriate name.","All objects that represent a physical resource whose state may vary from the user's desired intent should have a ""spec"" and a ""status"", while objects whose state cannot vary from the user's desired intent may have only ""spec"" and may rename ""spec"" to a more appropriate name.",ユーザーの望む意図と実際の状態が異なり得る物理リソースを表すオブジェクトは，「spec」と「status」を持つことが望ましい．実際の状態がユーザーの意図から変化し得ないオブジェクトは，「spec」だけを持ってもよく，「spec」をより適切な名前に変更してもよい．,,,,,,,,
block_0047_s1,342-343,prohibition,Objects that contain both `spec` and `status` should not contain additional top-level fields other than the standard metadata fields.,"Objects that contain both ""spec"" and ""status"" should not contain additional top-level fields other than the standard metadata fields.",「spec」と「status」の両方を含むオブジェクトは，標準メタデータフィールド以外の追加トップレベルフィールドを含まないことが望ましい．,,,,,,,,
block_0049_s3,354-363,recommendation,"Conditions provide a standard mechanism for higher-level status reporting from a controller. They are an extension mechanism which allows tools and other controllers to collect summary information about resources without needing to understand resource-specific status details. Conditions should complement more detailed information about the observed status of an object written by a controller, rather than replace it. For example, the ""Available"" condition of a Deployment can be determined by examining `readyReplicas`, `replicas`, and other properties of the Deployment. However, the ""Available"" condition allows other components to avoid duplicating the availability logic in the Deployment controller.","Conditions should provide higher-level status reporting from a controller, allow tools and other controllers to collect summary information about resources without understanding resource-specific status details, and complement rather than replace more detailed observed status information written by the controller.",Condition は，controller からの高レベルな status 報告として使い，resource 固有の status 詳細を理解しなくても tools や他の controller が summary 情報を収集できるようにするべきである．また，controller が書く詳細な observed status を置き換えるのではなく，それを補完するものとして扱う．,,,,,,,,
block_0050_s3,365-368,recommendation,"Objects may report multiple conditions, and new types of conditions may be added in the future or by 3rd party controllers. Therefore, conditions are represented using a list/slice of objects, where each condition has a similar structure. This collection should be treated as a map with a key of `type`.","Conditions should be represented as a list or slice of similarly structured condition objects and treated as a map keyed by `type`, because objects may report multiple conditions and new condition types may be added in the future or by third-party controllers.",Object は複数の condition を報告でき，将来または third-party controller により新しい condition type が追加され得るため，conditions は同様の構造を持つ condition object の list/slice として表現し，`type` を key とする map として扱うべきである．,,,,,,,,
block_0052_s1,372-376,recommendation,"Conditions should be added to explicitly convey properties that users and components care about rather than requiring those properties to be inferred from other observations. Once defined, the meaning of a Condition can not be changed arbitrarily - it becomes part of the API, and has the same backwards- and forwards-compatibility concerns of any other part of the API.","Conditions should explicitly convey properties that users and components care about instead of requiring those properties to be inferred from other observations, and once a Condition is defined its meaning cannot be changed arbitrarily because it is part of the API with the same backward- and forward-compatibility concerns as any other API part.",Condition は，users や components が関心を持つ property を他の observations から推論させるのではなく明示的に伝えるために追加するべきである．一度定義された Condition の意味は API の一部となるため，後方互換性と前方互換性の観点から任意に変更してはならない．,,,,,,,,
block_0053_s1,378-381,recommendation,"Controllers should apply their conditions to a resource the first time they visit the resource, even if the `status` is Unknown.","Controllers should apply their conditions to a resource the first time they visit the resource, even when the condition `status` is `Unknown`.",Controller は，resource を初めて処理するときに，condition `status` が `Unknown` であっても，その resource に condition を設定するべきである．,,,,,,,,
block_0054_s2,383-387,recommendation,"For known conditions, the absence of a condition `status` should be interpreted the same as `Unknown`, and typically indicates that reconciliation has not yet finished (or that the resource state may not yet be observable).","For known conditions, an absent condition `status` should be interpreted the same as `Unknown` and should typically indicate that reconciliation has not yet finished or that the resource state may not yet be observable.",既知の condition について condition `status` が存在しない場合は，`Unknown` と同じ意味として解釈するべきである．これは通常，reconciliation がまだ完了していない，または resource state がまだ観測可能でないことを示す．,,,,,,,,
block_0056_s1,396-401,recommendation,"Condition type names should make sense for humans; neither positive nor negative polarity can be recommended as a general rule. A negative condition like ""MemoryExhausted"" may be easier for humans to understand than ""SufficientMemory"". Conversely, ""Ready"" or ""Succeeded"" may be easier to understand than ""Failed"", because ""Failed=Unknown"" or ""Failed=False"" may cause double-negative confusion.","Condition type names should be understandable to humans, with neither positive nor negative polarity recommended as a general rule, and should avoid forms that create double-negative confusion for `Unknown` or `False` values.",Condition type 名は人間にとって理解しやすいものにするべきであり，positive polarity と negative polarity のどちらかを一般規則として推奨するものではない．`Unknown` や `False` と組み合わせたときに二重否定の混乱を生む名前は避けるべきである．,,,,,,,,
block_0057_s1,403-408,recommendation,"Condition type names should describe the current observed state of the resource, rather than describing the current state transitions.",Condition type names should describe the current observed state of the resource rather than current state transitions.,Condition type 名は，resource の現在の observed state を表すべきであり，現在進行中の state transition を表す名前にするべきではない．,,,,,,,,
block_0057_s2,403-408,recommendation,"Condition type names should describe the current observed state of the resource, rather than describing the current state transitions. This typically means that the name should be an adjective (""Ready"", ""OutOfDisk"") or a past-tense verb (""Succeeded"", ""Failed"") rather than a present-tense verb (""Deploying"").","Condition type names should describe the current observed state of the resource rather than current state transitions, typically using an adjective such as `Ready` or `OutOfDisk` or a past-tense verb such as `Succeeded` or `Failed` rather than a present-tense verb such as `Deploying`.",Condition type 名は，resource の現在の observed state を表すべきであり，通常は `Ready` や `OutOfDisk` のような adjective，または `Succeeded` や `Failed` のような past-tense verb を使う．`Deploying` のような present-tense verb で state transition を表す名前は避ける．,,,,,,,,
block_0058_s2,410-418,recommendation;prohibition,"For state transitions which take a long period of time (e.g. more than 1 minute), it is reasonable to treat the transition itself as an observed state. In these cases, the Condition (such as ""Resizing"") itself should not be transient, and should instead be signalled using the `True`/`False`/`Unknown` pattern.","For state transitions that take a long period of time, such as more than one minute, treating the transition itself as an observed state is reasonable, but the Condition representing that transition should not be transient and should instead be signaled using the `True`/`False`/`Unknown` pattern.",1分を超えるような長時間の state transition は，transition 自体を observed state として扱ってよい．ただし，その transition を表す Condition は一時的なものにせず，`True`/`False`/`Unknown` パターンで通知するべきである．,,,,,,,,
block_0058_s4,410-418,recommendation,"For state transitions which take a long period of time (e.g. more than 1 minute), it is reasonable to treat the transition itself as an observed state. In cases where the state transition is unable to complete and continued reconciliation is not feasible, the Reason and Message should be used to indicate that the transition failed.","For state transitions that take a long period of time, such as more than one minute, treating the transition itself as an observed state is reasonable, and when the state transition cannot complete and continued reconciliation is not feasible, `Reason` and `Message` should indicate that the transition failed.",1分を超えるような長時間の state transition は，transition 自体を observed state として扱ってよい．その transition が完了できず，継続的な reconciliation が実行可能でない場合は，`Reason` と `Message` により transition が失敗したことを示すべきである．,,,,,,,,
block_0060_s1,426-427,recommendation,Conditions should follow the standard schema included in k8s.io/apimachinery/pkg/apis/meta/v1/types.go.,Conditions should follow the standard schema included in `k8s.io/apimachinery/pkg/apis/meta/v1/types.go`.,Conditions は，`k8s.io/apimachinery/pkg/apis/meta/v1/types.go` に含まれる standard schema に従うべきである．,,,,,,,,
block_0060_s2,426-427,recommendation,"Conditions should follow the standard schema included in k8s.io/apimachinery/pkg/apis/meta/v1/types.go. It should be included as a top level element in status, similar to",Conditions should follow the standard schema included in `k8s.io/apimachinery/pkg/apis/meta/v1/types.go` and should be included as a top-level element in `status`.,Conditions は，`k8s.io/apimachinery/pkg/apis/meta/v1/types.go` に含まれる standard schema に従い，`status` の top-level element として含めるべきである．,,,,,,,,
block_0063_s1,470-470,obligation,Use of the `Reason` field is required.,The `Reason` field must be used.,`Reason` field は必ず使用しなければならない．,,,,,,,,
block_0064_s1,472-473,recommendation,Condition types should be named in PascalCase.,Condition types should be named in PascalCase.,Condition type は PascalCase で命名するべきである．,,,,,,,,
block_0064_s2,472-473,recommendation,"Short condition names are preferred (e.g. ""Ready"" over ""MyResourceReady"").","Condition names should be short, such as `Ready` instead of `MyResourceReady`.",Condition 名は短くするべきであり，例えば `MyResourceReady` ではなく `Ready` のような名前を優先する．,,,,,,,,
block_0065_s2,475-477,recommendation,"Condition `status` values may be `True`, `False`, or `Unknown`. The absence of a condition should be interpreted the same as `Unknown`.","Condition `status` values may be `True`, `False`, or `Unknown`, and the absence of a condition should be interpreted the same as `Unknown`.",Condition `status` の値は `True`，`False`，または `Unknown` を取り得る．Condition が存在しない場合は，`Unknown` と同じ意味として解釈するべきである．,,,,,,,,
block_0067_s3,482-487,recommendation,"In general, condition values may change back and forth, but some condition transitions may be monotonic, depending on the resource and condition type. However, conditions are observations and not, themselves, state machines, nor do we define comprehensive state machines for objects, nor behaviors associated with state transitions. The system is level-based rather than edge-triggered, and should assume an Open World.","The system should treat conditions as level-based observations in an Open World, where condition values may change back and forth and some condition transitions may be monotonic depending on the resource and condition type, rather than treating conditions as state machines or defining comprehensive object state machines or state-transition behaviors.",Conditions は state machine ではなく level-based な observations として扱い，system は Open World を前提とするべきである．Condition 値は行き来し得るが，resource と condition type によっては一部の transition が monotonic になる場合もある．包括的な object state machine や state transition に紐づく behavior を定義するものではない．,,,,,,,,
block_0069_s2,496-508,deprecation,"Some resources in the v1 API contain fields called `phase`, and associated `message`, `reason`, and other status fields. The pattern of using `phase` is deprecated.","The pattern of using `phase` fields and associated `message`, `reason`, and other status fields in resources is deprecated.",Resource に `phase` field とそれに関連する `message`，`reason`，その他の status field を使う pattern は deprecated である．,nophase (disabled),,,,,,,
block_0069_s3,496-508,recommendation,"Some resources in the v1 API contain fields called `phase`, and associated `message`, `reason`, and other status fields. Newer API types should use conditions instead. Phase was essentially a state-machine enumeration field, that contradicted system-design principles and hampered evolution, since adding new enum values breaks backward compatibility. Rather than encouraging clients to infer implicit properties from phases, we prefer to explicitly expose the individual conditions that clients need to monitor. Conditions also have the benefit that it is possible to create some conditions with uniform meaning across all resource types, while still exposing others that are unique to specific resource types.","Newer API types should use conditions instead of `phase` and associated status fields, explicitly exposing the individual conditions clients need to monitor rather than requiring clients to infer implicit properties from phase values.",新しい API type では，`phase` や関連する status field の代わりに conditions を使うべきである．Client に phase value から暗黙の property を推論させるのではなく，監視が必要な個別の conditions を明示的に公開する．,nophase (disabled),,,,,,,
block_0072_s1,522-528,recommendation,"Status information that may be large (especially proportional in size to collections of other resources, such as lists of references to other objects -- see below) and/or rapidly changing, such as resource usage, should be put into separate objects, with possibly a reference from the original object. This helps to ensure that GETs and watch remain reasonably efficient for the majority of clients, which may not need that data.","Status information that may be large, especially when proportional to collections of other resources, and/or rapidly changing, such as resource usage, should be put into separate objects with possibly a reference from the original object so that GETs and watch remain reasonably efficient for clients that may not need that data.",他 resource の collection に比例して大きくなり得る status 情報や，resource usage のように急速に変化する status 情報は，必要に応じて元 object から参照できる separate object に置くべきである．これにより，その data を必要としない多くの clients に対して GET や watch の効率を保つ．,,,,,,,,
block_0084_s1,588-589,prohibition,Do not use numeric enums. Use aliases for string instead (e.g. `NodeConditionType`).,"Numeric enums must not be used; string aliases, such as `NodeConditionType`, should be used instead.",Numeric enum は使用してはならない．代わりに，`NodeConditionType` のような string alias を使用するべきである．,,,,,,,,
block_0085_s1,590-592,obligation,"All public integer fields MUST use the Go `int32` or Go `int64` types, not `int` (which is ambiguously sized, depending on target platform).",All public integer fields must use the Go `int32` or Go `int64` types rather than the ambiguously sized Go `int` type.,Public な integer field はすべて，target platform によって size が曖昧な Go の `int` ではなく，Go の `int32` または `int64` を使用しなければならない．,integers,,,,,,,
block_0087_s1,596-597,prohibition,"Do not use unsigned integers, due to inconsistent support across languages and libraries. Just validate that the integer is non-negative if that's the case.","Unsigned integers must not be used because support is inconsistent across languages and libraries; when an integer must be non-negative, validate that the integer is non-negative instead.",Unsigned integer は，言語や library 間で support が一貫しないため使用してはならない．非負である必要がある integer については，unsigned 型を使うのではなく，値が non-negative であることを validation する．,,,,,,,,
block_0088_s1,598-602,recommendation,"All numbers (e.g. `int32`, `int64`) are converted to `float64` by Javascript and some other languages, so any field which is expected to exceed that either in magnitude or in precision (e.g. integer values > 53 bits) should be serialized and accepted as strings.","Any numeric field expected to exceed `float64` limits in magnitude or precision, such as integer values greater than 53 bits, should be serialized and accepted as strings because JavaScript and some other languages convert numbers such as `int32` and `int64` to `float64`.",JavaScript や一部の言語では `int32` や `int64` などの number が `float64` に変換されるため，magnitude または precision が `float64` の限界を超える可能性がある numeric field，例えば 53 bits を超える integer value は，string として serialize し，string として受け付けるべきである．,,,,,,,,
block_0088_s2,598-602,obligation,`int64` fields must be bounds-checked to be within the range of `-(2^53) < x < (2^53)`.,`int64` fields must be bounds-checked to be within the range `-(2^53) < x < (2^53)`.,`int64` field は，値が `-(2^53) < x < (2^53)` の範囲内であることを bounds-check しなければならない．,,,,,,,,
block_0089_s1,603-606,prohibition,"Avoid floating-point values as much as possible, and never use them in spec. Floating-point values cannot be reliably round-tripped (encoded and re-decoded) without changing, and have varying precision and representations across languages and architectures.",Floating-point values should be avoided as much as possible and must never be used in spec because floating-point values cannot be reliably round-tripped without changing and have varying precision and representations across languages and architectures.,浮動小数点値は，可能な限り避けるべきであり，spec では決して使用してはならない．理由は，エンコードと再デコードで値が変わらずに往復できる保証がなく，言語やアーキテクチャによって精度や表現が異なるためである．,nofloats (disabled),,,,,,,
block_0091_s4,614-623,recommendation,"Some fields will have a list of allowed values (enumerations). These values will be strings, and they will be in CamelCase, with an initial uppercase letter. Examples: `ClusterFirst`, `Pending`, `ClientIP`. When an acronym or initialism each letter in the acronym should be uppercase, such as with `ClientIP` or `TCPDelay`.","Enumeration values should be strings in CamelCase with an initial uppercase letter, and each letter in an acronym or initialism should be uppercase, as in `ClientIP` or `TCPDelay`.",列挙値は文字列で表し，先頭を大文字にした CamelCase にするべきである．頭字語やイニシャリズムを含む場合は，`ClientIP` や `TCPDelay` のように各文字を大文字にするべきである．,,,,,,,,
block_0091_s5,614-623,recommendation,"Some fields will have a list of allowed values (enumerations). These values will be strings, and they will be in CamelCase, with an initial uppercase letter. Examples: `ClusterFirst`, `Pending`, `ClientIP`. When a proper name or the name of a command-line executable is used as a constant the proper name should be represented in consistent casing - examples: `systemd`, `iptables`, `IPVS`, `cgroupfs`, `Docker` (as a generic concept), `docker` (as the command-line executable).","Enumeration values should be strings in CamelCase with an initial uppercase letter, and when a proper name or command-line executable name is used as a constant, the proper name or command-line executable name should be represented with consistent casing, such as `systemd`, `iptables`, `IPVS`, `cgroupfs`, `Docker` as a generic concept, or `docker` as the command-line executable.",列挙値は文字列で表し，先頭を大文字にした CamelCase にするべきである．固有名詞やコマンドライン実行ファイル名を定数として使う場合は，`systemd`，`iptables`，`IPVS`，`cgroupfs`，一般概念としての `Docker`，実行ファイルとしての `docker` のように，一貫した大文字小文字で表すべきである．,,,,,,,,
block_0091_s6,614-623,recommendation,"Some fields will have a list of allowed values (enumerations). These values will be strings, and they will be in CamelCase, with an initial uppercase letter. Examples: `ClusterFirst`, `Pending`, `ClientIP`. When a proper name or the name of a command-line executable is used as a constant the proper name should be represented in consistent casing - examples: `systemd`, `iptables`, `IPVS`, `cgroupfs`, `Docker` (as a generic concept), `docker` (as the command-line executable). If a proper name is used which has mixed capitalization like `eBPF` that should be preserved in a longer constant such as `eBPFDelegation`.","Enumeration values should be strings in CamelCase with an initial uppercase letter, and when a proper name with mixed capitalization such as `eBPF` is used in a longer constant, the mixed capitalization should be preserved, as in `eBPFDelegation`.",列挙値は文字列で表し，先頭を大文字にした CamelCase にするべきである．`eBPF` のような混在した大文字小文字を持つ固有名詞を長い定数に含める場合は，`eBPFDelegation` のようにその表記を保持するべきである．,,,,,,,,
